Índice,NomDepartamento,Año,NumMes,Día,NomClaseAccidente,NomCausaAcc,NomCondMeteorologica,NomDia,NomGeometriaAcc,terreno,secc_tip,n_victimas,n_muertos,n_heridos,Festividad
"287,Antioquia,2017,2,26,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Media ladera Izquierda,"""",0,2,0"
"288,Antioquia,2017,3,16,Volcamiento,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media Ladera Derecha,"""",0,1,0"
"289,Antioquia,2017,2,10,Caída ocupante,Sin causa especifica,Normal,viernes,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"291,Antioquia,2017,3,1,Choque,Sin causa especifica,Normal,miercoles,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,0,0"
"292,Antioquia,2017,3,7,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media Ladera Derecha,"""",0,0,0"
"296,Antioquia,2017,2,12,Atropello,Sin causa especifica,Normal,domingo,Recta,Plano,Media ladera Izquierda,"""",0,3,0"
298,Antioquia,2019,3,7,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Plano,Terraplen,0,0,0,0
"299,Antioquia,2017,7,28,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,0,1"
"300,Antioquia,2017,2,19,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"301,Antioquia,2017,2,24,Choque,Sin causa especifica,Lluvia,viernes,Recta,Plano,Media ladera Izquierda,"""",0,2,0"
"303,Antioquia,2017,2,11,Choque,Sin causa especifica,Normal,sabado,Curva Izquierda,Plano,Media ladera Izquierda,"""",0,0,0"
"304,Antioquia,2017,6,1,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"306,Antioquia,2017,8,2,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"307,Antioquia,2017,2,18,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media Ladera Derecha,"""",0,1,0"
"308,Antioquia,2017,7,21,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,3,0"
"309,Antioquia,2017,7,14,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"313,Antioquia,2016,12,16,Choque,Sin causa especifica,Normal,viernes,Recta,Plano,Media ladera Izquierda,"""",0,0,0"
"314,Antioquia,2017,8,8,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"315,Antioquia,2017,8,8,Choque,Sin causa especifica,Normal,martes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,0,0"
"316,Antioquia,2017,8,12,Atropello,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
"317,Antioquia,2017,6,14,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"318,Antioquia,2017,6,24,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"319,Antioquia,2017,8,2,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"320,Antioquia,2017,6,18,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"321,Antioquia,2017,8,3,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"322,Antioquia,2017,12,30,Choque,Sin causa especifica,Lluvia,sabado,Curva Izquierda,Plano,Media ladera Izquierda,"""",0,0,0"
323,Antioquia,2018,8,4,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
"324,Antioquia,2017,6,23,Caída ocupante,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"325,Antioquia,2017,8,3,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"326,Antioquia,2017,7,17,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"328,Antioquia,2018,1,28,Choque,Sin causa especifica,Normal,domingo,Curva Izquierda,Plano,Media ladera Izquierda,"""",0,1,0"
