Índice,Año,NumMes,Día,NomDepartamento,NomClaseAccidente,NomCausaAcc,NomGeometriaAcc,terreno,secc_tip,n_muertos,n_heridos,Festividad
121,2017,3,4,Antioquia,Choque,Sin causa especifica,Curva Derecha,Plano,Media ladera Izquierda,0,1,0
122,2018,3,4,Norte de Santander,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,1,0,0
123,2018,7,14,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,2,0
124,2018,10,16,Quindío,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,0,0
125,2018,2,23,Casanare,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
126,2018,8,1,Casanare,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
127,2017,4,11,Casanare,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
128,2018,8,21,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
129,2018,8,3,Casanare,Salida de la vía sin volcarse,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,1,0,0
130,2017,5,11,Casanare,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
131,2017,2,28,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
132,2017,10,6,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Plano,Media ladera Izquierda,0,0,1
133,2017,8,10,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Plano,Media ladera Izquierda,0,1,0
134,2017,2,9,Antioquia,Caída ocupante,Sin causa especifica,Recta,Plano,Media ladera Izquierda,0,1,0
135,2017,12,3,Norte de Santander,Choque,Sin causa especifica,Recta,Plano,Media Ladera Derecha,1,0,0
136,2018,5,5,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
137,2018,6,15,Quindío,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
138,2018,5,22,Norte de Santander,Volcamiento,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
139,2017,2,3,Antioquia,Atropello,Sin causa especifica,Recta,Ondulado,Terraplen,0,1,0
140,2018,6,7,Caquetá,Volcamiento,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
141,2017,5,27,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,7,0
142,2018,8,21,Quindío,Choque,Sin causa especifica,Curva Derecha,Escarpado,Media ladera Izquierda,0,0,0
143,2018,2,24,Casanare,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
144,2018,2,23,Casanare,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
145,2018,7,3,Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
146,2019,2,13,Boyacá,Choque,Sin causa especifica,Recta,Plano,Terraplen,1,1,0
147,2017,11,25,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media Ladera Derecha,0,0,0
